film_title,category,plot
Cevher,"Dram, Korku, Bilim-Kurgu","Bir aerobik programının yıldızı olan Elisabeth Sparkle, ilerleyen yaşı yüzünden 50. doğum gününde kovulunca yıkılır. Gizemli bir laboratuvar ona, damarlarına zerk edildiğinde ""kendisinin daha iyi bir versiyonunu"" ortaya çıkaracak mucizevi bir maddeyi kullanması önerisiyle yaklaşır."
Yıldızlararası,"Macera, Dram, Bilim-Kurgu","Dünya'nın giderek yaşanmaz hale gelmesiyle başlayan tarım krizi ve doğal felaketler, insanları yok olma tehlikesiyle karşı karşıya bırakmıştır. Teknik bilgisi ve becerisi yüksek olan Cooper, geniş mısır tarlalarında çiftçilik yaparak geçinmektedir; amacı iki çocuğuna güvenli bir hayat sunmaktır. Onlarla yaşayan büyük baba Donald çocuklara göz kulak olurken, henüz 10 yaşındaki kızı Murph şaşırtıcı bir zekaya sahiptir. Geçmişte bıraktığı bilim insanı kariyerini özleyen Cooper'un karşısına bir gün beklenmedik bir teklif çıkar ve ailesinin, dahası insanlığın güvenliği için zorlu bir karar alması gerekir..."
Çılgın Hırsız 4,"Aile, Komedi, Animasyon, Bilim-Kurgu","Gru ve Lucy ile kızları Margo, Edith ve Agnes'in Gru ailesinin yeni üyesi, babasına eziyet etmeye kararlı Gru Junior'ı kucaklarına almasıyla yeni bir bölüme başlıyor. Gru, yeni bir düşman olan Maxime Le Mal ve onun çekici ama tehlikeli kız arkadaşı Valentina ile karşı karşıya kalır ve ailece kaçmak zorunda kalırlar."
Fountain of Youth,"Macera, Fantastik, Gizem","Usta bir hazine avcısı, hayatını değiştirecek bir macera için bir ekip kurar. Ancak her köşede karşısına çıkan tehditleri alt etmek için kendisinden bile zeki olan birine ihtiyacı vardır: arasının açık olduğu kız kardeşine."
Hesaplaşma,"Suç, Gerilim, Dram","Christian Wolff dahi denebilecek bir matematik uzmanıdır. İnsanlardan çok rakamlarla içli dışlı olan karakter normal bir muhasebe uzmanı gibi görünse de aslında dünyanın en tehlikeli suç örgütleri için freelance olarak çalışmaktadır. Hazine Bakanlığı'nın Suç Yürütme Birimi kendisini araştırmaya başladığında dikkat çekmemek için sıradan gördüğü tehlikesiz bir müşteriyle anlaşan uzman, robotik şirketinde çalışan muhasebe uzmanı kısa bir sürede müşterisinin o kadar da sıradan bir problemi olmadığını fark eder. Christian hesaplarda keşfettiği milyonlarca dolar tutan tutarsızlık üzerine çalıştıkça başına açılan tehlike de büyümeye başlar..."
Son Durak,Korku,"Final Destination, genç bir çocuğun gördüğü ölümle ilgili önseziler ve hayatı boyunca onu takip eden gizemli ölümleri konu alan bir korku filmidir. X-Files'ı yöneten deneyimli yönetmen James Wong tarafından yönetilmiştir."
Lost Bullet 3,"Aksiyon, Suç, Gerilim, Dram","Üçlemenin bu turbo hızlı finalinde araba dâhisi Lino, Areski'den ve hayatlarını mahveden yozlaşmış kumandandan intikamını almak için geri dönüyor."
Acıya Yer Yok,"Aksiyon, Komedi, Gerilim","Yumuşak huylu, içe dönük bir adam olan Nate / Nathan Caine, kendisini fiziksel acıya karşı dayanıklı kılan nadir bir genetik bozuklukla dünyaya gelmiştir. Yeni sevgilisi, hayallerindeki kız, bir banka soygunu sırasında rehin alınınca Nathan Caine’in hastalığı onu kurtaracak süper gücü haline gelir."
Flow: Bir Kedinin Yolculuğu,"Animasyon, Fantastik, Macera","Kedi, yalnız bir hayvandır. Evi büyük bir sel tarafından yerle bir edilince, çeşitli hayvan türlerinin yaşadığı bir teknede sığınak bulur ve farklılıklarına rağmen onlarla işbirliği yapmak zorunda kalır."
Harry Potter ve Felsefe Taşı,"Macera, Fantastik","Harry Potter, muggle (büyücü yada cadı olmayan insanlar) amcası ve halasıyla sıradan ve zorluklarla dolu bir hayatı yaşarken, yılanlarla konuşabildiğinin, kızgınlık öfkesi sırasında eşyaları hareket ettirebildiğinin farkına varacaktır. Hogwarts Büyücülük ve Cadılık Okulu'ndan kabul edildiğini belirten mektup ise hayatının sıradanlığını değiştirecektir. Artık o bir büyücü adayıdır."
Kusursuz Arkadaş,"Korku, Bilim-Kurgu, Gerilim","Josh, sevgilisi gibi görünen ama aslında bir yapay zekâ robot olan Iris'i uzak bir göl evine götürür. Ancak işler karışır; Iris birini öldürünce olaylar kontrolden çıkar. Josh’un karanlık planları ortaya çıkar: Iris’i bir silah gibi kullanmak. Ancak Iris, kendi bilincini geliştirir ve sisteme başkaldırır. Film, yapay zekânın özgür iradesi ve insan yozlaşması üzerine karanlık bir bilim kurgu gerilimi sunuyor."
Ölümcül Uçuş,"Aksiyon, Gerilim",Bir hava mareşali eşliğinde bir firariyi mahkemeye götüren bir pilotun hikâyesi anlatılıyor. Alaska'nın vahşi doğasını geçerken gerilimler artar ve güven sarsılır çünkü uçaktaki hiç kimse göründüğü gibi değildir.
365 Gün: Bugün,"Romantik, Dram","Laura ve Massimo, tutku dolu bir aşk yaşayan bir çiftir. Ancak onların ilişkileri, Massimo'nun aile bağları ve ne pahasına olursa olsun onun kalbini ve güvenini kazanmak için Laura'nın hayatına giren gizemli bir adam yüzünden karmaşıklaşır."
Titanik,"Dram, Romantik","Titanik (orijinal adı: Titanic), 1997 yapımı epik bir romantik ve felaket filmidir. Yönetmenliğini James Cameron’ın üstlendiği film, gerçek bir olaydan esinlenerek yazılmıştır. Film, 1912’deki ünlü RMS Titanic’in ilk seferinde geçer ve geminin trajik batışıyla birlikte aşk ve trajediyi işler. Başrollerinde Leonardo DiCaprio (Jack Dawson) ve Kate Winslet (Rose DeWitt Bukater) yer alır.  Titanik, çarpıcı görsel efektleri, etkileyici sinematografisi ve duygusal yoğunluğu ile öne çıkar. Film, dünya çapında büyük bir gişe başarısı elde etmiş ve 11 Oscar ödülü kazanarak sinema tarihinde önemli bir yere sahip olmuştur."
Avengers: Sonsuzluk Savaşı,"Macera, Aksiyon, Bilim-Kurgu","Kaptan Amerika ve Iron Man'in arasında yaşanan olayların ardından bölünen kahramanlarımız, birbirlerinden uzaklara savrulurlar. Hepsi kendi yandaşlarıyla dünyayı korumaya çalışmaktadır. Ancak dünyanın kaderi bir kez daha tehlikeye girer. Sınırsız bir güç kaynağı olan sonsuzluk taşlarının peşine düşen Thanos, dünyanın gördüğü en büyük tehdittir. İnsanlığın kaderi bir kez daha, insanlık için savaşmaya ant içmiş kahramanlarımız elindedir. Hiçbir süper kahramanın tek başına yenemeyeceği büyüklükteki bu tehdit için ekipler birleşmeli ve tehdide tüm güçleriyle karşı koymalıdır..."
Avcı Kraven,"Aksiyon, Macera, Gerilim","Avcı Kraven, Marvel'ın en ikonik kötü adamlarından birinin nasıl ve neden ortaya çıktığına dair farklı bir hikâye. Örümcek-Adam ile olan nam salmış kan davasından önce geçen filmin başrolünde Aaron Taylor-Johnson yer alıyor."
Baba,"Dram, Suç","Mario Puzo'nun çok satan kitabından Puzo ve yönetmen Francis Ford Coppola tarafından sinemaya uyarlanan eser, 40'lar ve 50'lerin Amerika'sında, bir İtalyan mafya ailesinin destansı öyküsünü konu alıyor. Corleone ailesi, Don Vito Corleone'nin başında olduğu, suça dayalı bir örgüt kurmuş olan İtalyan asıllı meşhur bir ailedir. Aile, New York'taki diğer dört aileyle birlikte New York'un yeraltı işlerini yönetmektedir. Ancak Corleone ailesini diğerlerinden ayıran özelliği, Don Corleone'nin cebinde bozuk para gibi taşıdığı politikacılar ve yargıçlardır. Politikacılar ve yargıçlarla olan bu yakın ilişkileri diğer ailelerin açamadığı kapıları açabilmesini sağlamaktadır."
Cesur Panda Görevimiz Afrika,"Animasyon, Macera, Komedi, Aile","Hayvanların huzur içinde yaşadığı yemyeşil bir bambu ormanından, Afrika’nın derinliklerine uzanan macera ve eğlence dolu bir animasyon. Yakın arkadaşı ejderhayı kurtarmaya çalışan bir pandanın ilk kez gittiği bir kıtada ve ilk kez karşılaştığı hayvanlarla arkadaşını kurtarmak için yaşadığı macera."
Gladyatör II,"Aksiyon, Macera, Dram","Gladyatör Maximus Decimus Meridius’un ölümünden 15 yıl sonrasıdır. Kana susamış kalabalıklar yarı deli ikiz imparatorları zalimliğin yeni zirvelerine iterken Kolezyum’daki savaşlar çok daha ölümcül ve görkemli hâle gelmiştir. Roma İmparatorluğu sınırlarını genişleterek, yoluna çıkan her kültürü yağmalayarak ve hayatta kalanları ringde yaşamları için savaşmaya zorlayarak yeryüzündeki yürüyüşünü sürdürmektedir."
Yenilmezler,"Bilim-Kurgu, Aksiyon, Macera","""Yenilmezler"", 2012 yılında vizyona giren ve Marvel Sinematik Evreni'nin önemli bir parçasını oluşturan aksiyon dolu bir süper kahraman filmidir. Nick Fury, S.H.I.E.L.D. (Stratejik Yurt İçi, Müdahale, Lojistik ve Savunma) ajansının yöneticisi olarak, dünya üzerinde büyük bir tehlike olduğunu fark eder: Loki, Asgard'ın prensi ve kötü niyetli bir varlık, dünyayı ele geçirmek için bir plan yapmaktadır. Loki, uzaydan gelen Chitauri ordusunu kullanarak insanlığı tehdit etmektedir. Fury, bu durumu engellemek için ""Yenilmezler"" adlı bir ekip kurmaya karar verir. Bu ekipte, Iron Man (Tony Stark), Captain America (Steve Rogers), Thor, Hulk (Bruce Banner), Black Widow (Natasha Romanoff) ve Hawkeye (Clint Barton) yer alır. Her biri farklı yeteneklere ve geçmişe sahip olan bu kahramanlar, başlangıçta birbirleriyle çatışmalar yaşasalar da, zamanla bir takım olmayı öğrenirler."
Mission: Impossible - Ölümcül Hesaplaşma Birinci Bölüm,"Aksiyon, Macera, Gerilim","Ethan Hunt ve IMF ekibi şimdiye kadarki en tehlikeli görevlerine atılıyorlar. Görevleri; yanlış ellere geçmeden önce tüm insanlığı tehdit eden  korkunç bir silahın izini sürmek. Geleceğin kontrolü ve dünyanın kaderi tehlikedeyken ve Ethan'ın geçmişinden gelen karanlık güçler yaklaşırken, dünya çapında ölümcül bir yarış başlıyor. Gizemli, her şeye gücü yeten bir düşmanla karşı karşıya kalan Ethan, hiçbir şeyin görevinden daha önemli olamayacağını düşünmek zorunda kalır. En çok değer verdiği kişilerin hayatları bile."
Esaretin Bedeli,"Dram, Suç","Genç ve başarılı bir banker olan Andy Dufresne, karısını ve onun sevgilisini öldürmek suçundan ömür boyu hapse mahkum edilir ve Shawshank hapishanesine gönderilir. İşkence, tecavüz, dayak dahil her türlü kötü koşulun hüküm sürdüğü hapishane koşullarında, Andy'nin hayata bağlı ve her daim iyi bir şeyler bulma çabası içindeki hali, çevresindeki herkesi çok etkileyecektir. Bir süre sonra parmaklıkların arkasında bile özgür bir yaşam olabileceğine bütün mahkumları inandırır. Bu mahkumlardan biri olan Ellis Boyd ""Red"" ve Andy, unutulmaz bir dostluk kurarak hapishaneyi bambaşka bir yer haline getirirler."
John Wick: Chapter 4,"Aksiyon, Gerilim, Suç","Wick'in geçmişteki düşmanlarıyla yüzleşmek zorunda kaldığı ve uluslararası bir suikastçi ağına karşı verdiği mücadeleyi konu alır. Bu kez, John Wick, özgürlüğü için savaşırken, eski dostlarının ihanetleriyle de karşılaşır. Wick, çeşitli yerlerde geçen çatışmalarda ustaca dövüş yeteneklerini sergilerken, her sahne heyecan verici bir şekilde kurgulanmıştır. ""John Wick 4"", hem dövüş sanatları tutkunları hem de aksiyon severler için unutulmaz bir deneyim sunmayı hedefliyor."
Başlangıç,"Aksiyon, Bilim-Kurgu, Macera","Leonardo DiCaprio bu yapımda, çok yetenekli bir hırsız olan Dom Cobb ile karşımızda. Uzmanlık alanı, zihnin en karanlık ve savunmasız olduğu rüya anında, bilinçaltının derinliklerindeki değerli sırları çekip çıkarmak ve onları çalmaktır. Cobb'un insanlarda nadiren görülebilecek bu yeteneği onu kurumsal casusluğun tehlikeli yeni dünyasında aranan bir oyuncu yapmıştır. Aynı zamanda bu durum onu uluslararası bir kaçak yapmış ve sevdiği her şeye malolmuştur. Cobb'a içinde bulunduğu durumdan kurtulmasını sağlayacak bir fırsat sunulur. Ona hayatını geri verebilecek son bir iş; tabii eğer imkansız 'Başlangıç'ı tamamlayabilirse."
Alien: Romulus,"Korku, Bilim-Kurgu","Uzay sömürgecileri Rain, Andy, Tyler, Kay, Bjorn ve Navarro, görünüşte tamamen terk edilmiş gibi gözüken bir uzay istasyonunda bir şeyler bulma umuduyla arama yapar. Ancak onların gerçekte neler olup bittiğine dair hiçbir fikri yoktur. Çok geçmeden grup, dünyanın en korkutucu yaşam formu ile karşılaşacaktır."
Oppenheimer,"Dram, Tarih","Amerikalı fizikçi Julius Robert Oppenheimer'ın hayatına odaklanılan filmde, Julius Robert Oppenheimer’ın, İkinci Dünya Savaşı sırasında atom bombasının geliştirilme sürecindeki rolü gözler önüne seriliyor.  Fizikçi Julius Robert Oppenheimer'a 2. Dünya Savaşı sırasında Manhattan Projesi'nin bilimsel liderliği verildiğinde, o ve eşi Kitty, Oppenheimer'ın çalışmasının sadece kendi hayatları üzerinde değil, tüm dünya üzerinde bu kadar etki edeceğini hayal edemezdi.  Ancak ölümcül icadının Hiroşima ve Nagazaki'de kullanılacak olması, Oppenheimer'ın kendisini projeden uzaklaştırmasına neden olur. Savaş sona ermek üzereyken, Lewis Strauss'un ortak kurduğu ABD Atom Enerjisi Ajansı'nın danışmanı olan Robert Oppenheimer, nükleer enerjinin uluslararası kontrolüne ve nükleer silahlanma yarışına karşı olduğunu savunur ve bu nedenle ABD tarafından hedef haline gelir."
Süper Mario Kardeşler Filmi,"Aile, Komedi, Macera, Animasyon","Brooklyn’li tesisatçılar Mario ve erkek kardeşi Luigi bir ana su borusunu tamir etmek için yeraltında çalışırken gizemli bir borudan aktarılarak sihirli, yeni bir dünyaya girerler. Ama kardeşler ayrı düşünce Mario, Luigi’yi bulmak için destansı bir maceraya çıkar. Mario, Mantar Krallığı sakini Toad’un yardımıyla ve Mantar Krallığı’nın iradesi güçlü yöneticisi Prenses Peach’ten aldığı bazı eğitimlerle gücünü bulur."
Lilo ve Stiç 2: Stiç Zor Durumda,"Animasyon, Aile, Komedi, Bilim-Kurgu","Stitch ve Lilo’nun unutulmaz hikayesi, Disney’in yepyeni uzun metraj filmi ile devam ediyor! Ayrı dünyaların insanları olsanız bile arkadaşlıkların devam edebileceğini anlatan bu eğlenceli komedide en sevdiğiniz kahramanlar geri dönüyor! 626 deney ekibi Hawaii’ye inmeden önce, Stitch sakin bir yaşam sürmektedir. Günlerini bir yandan büyük Hula yarışmasına hazırlanan bir yandan da annesinin izlerini takip eden Lilo’ya yardım ederek geçirmektedir. Yaşam mükemmeldir... Ta ki Stitch’in küçük sorunu ortaya çıkana kadar!"
Anora,"Dram, Komedi, Romantik","Brooklyn'li genç bir seks işçisi olan Anora, oligarkın oğluyla tanışıp aniden evlendiğinde bir külkedisi hikayesini yaşama şansını yakalar. Haber Rusya'ya ulaştığında oligarkın ailesi evliliği iptal ettirmek için New York'a doğru yola çıkınca Anora'nın masalı tehlikeye girer."
Dune: Çöl Gezegeni Bölüm İki,"Bilim-Kurgu, Macera","Paul Atreides, Arrakis gezegeni için mücadeleye devam ediyor ve Fremen halkının liderliğini üstleniyor. Paul, Harkonnen ailesinin saldırısından kurtulduktan sonra, Fremenlerle birlikte yaşamaya başlar. Fremenlerin yardımıyla, Arrakis'in kontrolüne yeniden sahip olmak ve evrenin kaderini değiştirmek için mücadele eder. Paul, Arrakis gezegeninin Fremen halkı tarafından Mesih olarak kabul edilir. Fremen'ler, Paul'ün liderliğinde Arrakis gezegenini özgürleştireceklerine ve galakside eşitlik ve adaleti sağlayacaklarına inanırlar."
Son Durak 5,"Korku, Gizem","Ölüm her zamanki gibi köşebaşında beklerken, Son Durak 5 yine dehşete düşürüyor. Şirketin düzenlediği bir gezi için yapılan otobüs yolculuğu sırasında Sam (Nicholas D’Agosto), kendisi ve birçok arkadaşı ile beraber başkalarının da ölümüne sebep olacak korkunç bir köprü yıkılışının önsezisini yaşar. Kendine geldiğinde önsezisinin başındaki bazı görüntülerin gerçeğe dönüştüğünü görür ve arkadaşı Peter (Miles Fisher) ve sevgilisi Molly'nin (Emma Bell) de içinde bulunduğu bir grup iş arkadaşını, ölüm onları yakalamadan apar topar oradan uzaklaştırır. Aslında hayatta olmamaları gerektiği gerçeğinden habersiz olan grup, ölümün onlar için seytani bir planı olduğunun farkına varınca, zamanları dolmadan bir çıkış yolu aramaya başlarlar."
Kod Adı: Kırmızı,"Aksiyon, Komedi, Fantastik","Kuzey Kutbu'nun Güvenlik Şefi (Dwayne Johnson), Noel'i kurtarmak için dünyanın en kötü şöhretli ödül avcısıyla (Chris Evans) dünyayı dolaşacakları aksiyon dolu bir görevde bir araya gelmek zorunda kalır."
Koralin ve Gizli Dünya,"Animasyon, Aile, Fantastik","Coraline eski bir eve taşındığında canı çok sıkılır ve ailesi tarafından da ihmal edilir. Bir gün dar bir geçide uzanan gizli bir kapı bulur ve geçitten geçmeye karar verir. Orada paralel bir hayat keşfeder. O hayatta insanların hepsinin gözlerinin yerinde düğmeler vardır, aileleri çocukları ile çok ilgilidirler ve herkesin hayalleri gerçek olur. Oranın annesi Coraline’i kendileri ile birlikte sonsuza dek yaşamak üzere davet edince, Coraline bunu reddeder. Sonra da bu alternatif gerçekliğin sadece bir tuzak olduğunu keşfeder."
Son Durak 3,"Korku, Gizem","Final Destination film serisinin üçüncü filminde, lise öğrencisi Wendy Christensen, arkadaşlarının bir mının öleceğini gördüğü önsezisi sonrasında, eğlence trenini durdurmayı başaramamıştır. Okul arkadaşı Kevin Fischer ile ortaklaşa olarak, Ölüm'ün kazadan kurtulanları tekrar ziyaret etmesini önlemeye çalışırlar. lmde, Mary Elizabeth Winstead, Ryan Merriman ve Tony Todd rol alıyor."
Mickey 17,"Bilim-Kurgu, Komedi, Macera","Mickey 17, öldükten sonra klonunun üretilmesine izin veren bir işçi olarak çalışan Mickey'nin hikayesini konu ediyor. Bir keşif klonisi, buzul bir gezegen olan Niflheim'daki tehlikeli bir göreve Mickey adlı bir klonu gönderir. Mickey, ölse de yeniden klonlanabilmekte ve geçmişte olanların büyük kısmını hatırlayabilmektedir. Bir görev sırasında Mickey 17'nin kaza geçirerek öldüğü düşünülür ve bu nedenle yeni bir Mickey klonu aktif edilir. Ancak Mickey 17 hayattadır. Bu durum üzerine Mickey 17 ve yeni klonu arasında büyük bir mücadele başlar."
Örümcek-Adam: Örümcek-Evrenine Geçiş,"Animasyon, Aksiyon, Macera, Bilim-Kurgu","Spider-Man: Across the Spider-Verse, radyoaktif bir örümcek tarafından ısırılmasıyla bambaşka bir dünyaya adım atıp özel yeteneklerle donanan Miles Morales'in maceralarını konu ediyor."
Kara Dul Maje,"Gerilim, Gizem","Gerçek olaylardan uyarlanan bu gerilim filminde ölü bulunan bir adam için açılan soruşturma, kusursuz görünen eşinin maskesini düşürerek gizli çifte hayatını ortaya çıkarır."
Top Gun: Maverick,"Aksiyon, Dram","Donanmanın en iyi pilotlarından biri olan Pete “Maverick” Mitchell, 30 yıllık hizmetten sonra ait olduğu yerde, cesur bir test pilotu olarak sınırları zorlar ve kendisini yere bağlayacak olan terfiden kaçar. Kendisini Top Gun mezunlarından oluşan bir müfrezeyi o güne kadar hiçbir pilotun görmediği özel bir görev için eğitirken bulur. Belirsiz bir gelecekle ve geçmişinden gelen anılarla karşı karşıya kalan Maverick, en büyük korkularıyla yüzleşmek ve büyük bir fedakarlık yapmasını gerektiren bir göreve gitmek zorunda kalır."
Örümcek-Adam: Eve Dönüş Yok,"Aksiyon, Macera, Bilim-Kurgu","Örümcek Adam'ın sinema tarihinde ilk kez, dost canlısı mahalle kahramanımız maskesizdir ve artık normal hayatıyla süper kahraman olmanın yüksek risklerini birbirinden ayıramıyordur. Doctor Strange'den yardım istediğinde, riskler daha da tehlikeli hale gelir ve onu Örümcek Adam olmanın gerçekte ne anlama geldiğini keşfetmeye zorlar."
Tuzak,"Gerilim, Korku","Filmin merkezinde, ailesini geçindirmek için bir araba çalmaya kalkışan Eddie yer alıyor. Ancak çalmaya çalıştığı aracın sahibi William, uzaktan kontrolle Eddie’yi otomobilin içine kilitliyor. Bu noktadan itibaren, daracık bir alan; bir güç savaşının, hayatta kalma mücadelesinin ve gitgide yükselen bir gerilimin sahnesine dönüşüyor."
